EvaLee_direct,Zofia_direct,Yuri_direct,Other_direct,transcript_Eng,transcript_Chn
./audio_RA2/EvaLee/OtherVoices/RA2_macev02.mp3,,,,"Teleporting troops arriving in 5, 4, 3, 2, 1.",传送部队将在5，4，3，2，1秒后到达
,,,./audio_RA2/Others/OtherVoices/RA2_ms9pr03.mp3,They're breaking in! Do something!,他们闯进来了！快做点什么！
,,,./audio_RA2/Others/OtherVoices/RA2_ms9pr04.mp3,"You don't want the Vice President running the country, do you?",你并不希望副总统管理国家，不是吗？
,,,./audio_RA2/Others/OtherVoices/RA2_ms9pr05.mp3,Er...,嗷...
./audio_RA2/EvaLee/OtherVoices/RA2_xc0ev01.mp3,,,,Defend America against the Soviet threat by destroying their bases in Cuba. Save the city of Los Angeles from Yuri's forces and drive him back to Russia. In the Russian motherland neutralize any remaining threat posed by Yuri and the Soviets.,通过摧毁他们在古巴的基地来保护美国免受苏联的威胁，从尤里的军队中拯救洛杉矶并将他赶回俄罗斯，然后在俄罗斯消除尤里和苏联构成的任何剩余威胁
,,./audio_RA2/Yuri/OtherVoices/RA2_xc0in01.mp3,,"Support Yuri's request for world domination by capturing the American capital, then take command of the Yuri forces in South America to destroy the Soviet secret base into Yucatan. Annihilate the last of the Allied and Soviet forces fleeing to London then Yuri can assume his rightful role as ruler of all mankind.",通过占领美国首都来完成尤里的世界统治要求，然后指挥尤里在南美洲的军队摧毁苏联在尤卡坦半岛的秘密基地，歼灭逃往伦敦的最后一支盟军和苏联军队，然后尤里就可以担任全人类统治者的应有角色
,./audio_RA2/Zofia/OtherVoices/RA2_xc0so01.mp3,,,"Ensure the success of the Soviet invasion by crushing the Allied Forces in Seattle. Punish the traitor Yuri by taking away his oil reserves and destroying his secret base in Egypt, then travel to the Black Forest in Germany and wipe out our enemies as they gather for a last stand against the mighty Soviet Union.",通过粉碎西雅图的盟军力量确保苏联入侵的成功，夺走他的石油储备并摧毁他在埃及的秘密基地来惩罚叛徒尤里，然后前往德国的黑森林并消灭最后一批对抗苏联的敌人
./audio_RA2/EvaLee/OtherVoices/RA2_xc1ev01.mp3,,,,"The Soviet bases in Cuba must be eliminated. One commander will be positioned near Havana. The second commander will be positioned on the northern shore near a secret Allied airbase, the Soviets have two bases to the east.",必须消灭苏联在古巴的基地，一名指挥官将驻扎在哈瓦那附近，第二名指挥官将被安置在靠近盟军秘密空军基地的北岸，苏军在东边有两个基地
,,./audio_RA2/Yuri/OtherVoices/RA2_xc1in01.mp3,,The Allies have constructed defenses around their precious White House. They hide behind their technology like scared children. They stand no chance against our psychic powers. Crush the American capital and the spirit of its peoples.,盟军在他们宝贵的白宫周围造满了防御工事，他们像受惊的孩子一样躲在科技背后，没有任何办法对抗我们的精神力量。粉碎美国首都及其人民精神
,./audio_RA2/Zofia/OtherVoices/RA2_xc1so01.mp3,,,The Allied have a stronghold in the city of Seattle. They have established a base with heavy artillery near the Space Needle. A second base resides in the heart of the city. Defensive positions have been constructed around the city perimeter.,盟军在西雅图拥有据点，他们在太空针塔附近建立了一个拥有重炮的基地，第二个基地位于市中心，防御阵地已在城市周边建立
./audio_RA2/EvaLee/OtherVoices/RA2_xc2ev01.mp3,,,,"Yuri has two bases in Los Angeles. One commander will begin near LAX, the other commander will be positioned to the east near several oil derricks and power plants.",尤里在洛杉矶有两个基地。一名指挥官将在洛杉矶国际机场附近开始攻打，另一位指挥官将位于东边几个石油井和发电厂附近
